movieLabel,gross,cost,publicationYear,IMDBid
Limitless,161849455,27000000,2011,tt1219289
The Best of Me,35700000,26000000,2014,tt1972779
The 33,24902723,26000000,2014,tt2006295
Self/less,30523226,26000000,2015,tt2140379
Viy,1200263808,26000000,2014,tt1224378
The Railway Man,22320893,26000000,2013,tt2058107
Bridget Jones's Diary,281929795,26000000,2001,tt0243155
W.,29500000,25100000,2008,tt1175491
How Vitka Chesnok Drove Lyokha Shtyr to the House for Disabled,5049275,25000000,2017,tt5837242
Matilda,355973630,25000000,2017,tt4419196
Hidden Figures,235956898,25000000,2016,tt4846340
CHiPs,25244922,25000000,2017,tt0493405
The Age of Adaline,65663276,25000000,2015,tt1655441
The Giver,66361761,25000000,2014,tt0435651
August: Osage County,74200000,25000000,2013,tt1322269
Beauty and the Beast,424967620,25000000,1991,tt0101414
Winx Club: The Secret of the Lost Kingdom,16688332,25000000,2007,tt1206585
Stone Cold,9300000,25000000,1991,tt0102984
The Losers,29379723,25000000,2010,tt0480255
National Lampoon's Christmas Vacation,71320000,25000000,1989,tt0097958
Bride of Chucky,50671850,25000000,1998,tt0144120
The Sitter,34590770,25000000,2011,tt1366344
Blindness,19800000,25000000,2008,tt0861689
The Shawshank Redemption,59800000,25000000,1994,tt0111161
Cloverfield,171000000,25000000,2008,tt1060277
The Untouchables,76270454,25000000,1987,tt0094226
The Eagle,36054706,25000000,2011,tt1034389
The Help,216639112,25000000,2011,tt1454029
No Country for Old Men,171627166,25000000,2007,tt0477348
Goodfellas,46800000,25000000,1990,tt0099685
Scarface,65.884,25000000,1983,tt0086250
Fences,51284900,24000000,2016,tt2671706
Sunstroke,1700000,24000000,2014,tt4119030
Footloose,62701289,24000000,2011,tt1068242
Point Break,83000000,24000000,1991,tt0102685
The Cider House Rules,88500000,24000000,1999,tt0124315
The Fisher King,41900000,24000000,1991,tt0101889
Zombieland,102391540,23600000,2009,tt1156398
"Kidnapping, Caucasian Style!",180942,23500000,2014,tt4537362
The Grand Budapest Hotel,174801324,23000000,2014,tt2278388
Harley Davidson and the Marlboro Man,7434726,23000000,1991,tt0102005
Her,48800000,23000000,2013,tt1798709
Bad Santa,76488889,23000000,2003,tt0307987
Universal Soldier,101200000,23000000,1992,tt0105698
Pitch Black,53187659,23000000,2000,tt0134847
A Dog's Purpose,192345040,22000000,2017,tt1753383
"Hail, Caesar!",63647656,22000000,2016,tt0475290
Heist,1867456,22000000,2015,tt3276924
Rudolf and Ippaiattena,12000000,22000000,2016,tt5912052
Spies Like Us,60000000,22000000,1985,tt0090056
You Will Meet a Tall Dark Stranger,34300000,22000000,2010,tt1182350
The Marine,25800000,22000000,2006,tt0419946
RoboCop 3,10696210,22000000,1993,tt0107978
Jay and Silent Bob Strike Back,33000000,22000000,2001,tt0261392
Schindler's List,322139355,22000000,1993,tt0108052
Underworld,95708457,22000000,2003,tt0320691
Ghost,506000000,22000000,1990,tt0099653
Dances with Wolves,424208848,22000000,1990,tt0099348
Pet Sematary,112400000,21000000,2019,tt0837563
Black Book,26768563,21000000,2006,tt0389557
Tootsie,177200000,21000000,1982,tt0084805
Silver Linings Playbook,236412453,21000000,2012,tt1045658
Taxi 5,42000000,20390000,2018,tt7238392
Q56315512,49983,20000000,2018,tt6157970
Glass,244100000,20000000,2019,tt6823368
Bad Moms,183936074,20000000,2016,tt4651520
Me Before You,207945075,20000000,2016,tt2674426
Gold,14880939,20000000,2016,tt1800302
Spotlight,88346473,20000000,2015,tt1895587
Burnt,36606743,20000000,2015,tt2503944
John Wick,88761661,20000000,2014,tt2911666
The Conjuring,318000000,20000000,2013,tt1457767
12 Years a Slave,187733202,20000000,2013,tt2024544
Broadcast News,67000000,20000000,1987,tt0092699
Daybreakers,50011441,20000000,2009,tt0433362
The Kite Runner,73200000,20000000,2007,tt0419887
The Brothers Bloom,5500000,20000000,2008,tt0844286
Misery,61300000,20000000,1990,tt0100157
The World's End,46089287,20000000,2013,tt1213663
Capitalism: A Love Story,17436509,20000000,2009,tt1232207
We're No Angels,10000000,20000000,1989,tt0098625
The Admiral,38135878,20000000,2008,tt1101026
Brewster's Millions,45833132,20000000,1985,tt0088850
Conan the Barbarian,69000000,20000000,1982,tt0082198
Beverly Hills Cop II,299965036,20000000,1987,tt0092644
Atlas Shrugged: Part I,4627375,20000000,2011,tt0480239
Equilibrium,5400000,20000000,2002,tt0238380
Doubt,50907234,20000000,2008,tt0918927
Edward Scissorhands,86000000,20000000,1990,tt0099487
Machete Kills,15008161,20000000,2013,tt2002718
Silent Hill: Revelation 3D,52302796,20000000,2012,tt0938330
Gosford Park,87700000,19800000,2001,tt0280707
The Shape of Water,194349972,19500001,2017,tt5580390
Coco Before Chanel,50812934,19430000,2009,tt1035736
The Devil's Double,2985158,19100000,2011,tt1270262
Back to the Future,381109762,19000000,1985,tt0088763
This Is Where I Leave You,40996320,19000000,2014,tt1371150
Sausage Party,140705322,19000000,2016,tt1700841
Bad Boys,141407024,19000000,1995,tt0112442
Scary Movie,278019771,19000000,2000,tt0175142
Letters from Iwo Jima,68673228,19000000,2006,tt0498380
Adaptation,32801173,19000000,2002,tt0268126
The Silence of the Lambs,272742922,19000000,1991,tt0102926
From Dusk till Dawn,25836616,19000000,1996,tt0116367
The Shining,44017374,19000000,1980,tt0081505
Chocolat,4908376,18500000,2016,tt4400038
The Invention of Lying,32054454,18500000,2009,tt1058017
Aliens,131335326,18500000,1986,tt0090605
The Tall Man,5212903,18200000,2012,tt1658837
My Big Fat Greek Wedding 2,88900000,18000000,2016,tt3760922
Labor Day,20275812,18000000,2013,tt1967545
Blue Jasmine,97505481,18000000,2013,tt2334873
The Nightmare Before Christmas,75082668,18000000,1993,tt0107688
Big,151668774,18000000,1988,tt0094737
Beethoven,147214049,18000000,1992,tt0103786
Young Sherlock Holmes,19700000,18000000,1985,tt0090357
Anything Else,13500000,18000000,2003,tt0313792
Honey,58000000,18000000,2003,tt0322589
127 Hours,60000000,18000000,2010,tt1542344
The Last Station,13550772,18000000,2009,tt0824758
Home Alone 2: Lost in New York,358994850,18000000,1992,tt0104431
Home Alone,476684675,18000000,1990,tt0099785
Amadeus,56000000,18000000,1984,tt0086879
Star Wars Episode V: The Empire Strikes Back,547879454,18000000,1980,tt0080684
Red Sonja,6948633,17900000,1985,tt0089893
Tron,33000000,17000000,1982,tt0084827
A Quiet Place,340939361,17000000,2018,tt6644200
The Dressmaker,24000000,17000000,2015,tt2910904
Beastly,38000000,17000000,2011,tt1152398
Deuce Bigalow: Male Gigolo,92938755,17000000,1999,tt0205000
The Illusionist,87892388,17000000,2006,tt0443543
The Others,209900000,17000000,2001,tt0230600
Midnight in Paris,151100000,17000000,2011,tt1605783
To Rome with Love,73244881,17000000,2012,tt1859650
Left Behind,19682924,16000000,2014,tt2467046
The Ice Harvest,9016782,16000000,2005,tt0400525
Léon: The Professional,45284974,16000000,1994,tt0110413
Moonrise Kingdom,68263166,16000000,2012,tt1748122
Rust and Bone,19500000,16000000,2012,tt2053425
Vicky Cristina Barcelona,96000000,15500000,2008,tt0497465
Queen of Katwe,9897056,15000000,2016,tt4341582
Twins,216614388,15000000,1988,tt0096320
Leaving Afghanistan,47500000,15000000,2019,tt8615732
Annabelle: Creation,306515884,15000000,2017,tt5140878
Colossal,4500000,15000000,2016,tt4680182
The Danish Girl,64191523,15000000,2015,tt0810819
Wild,52501541,15000000,2014,tt2305051
Jock the Hero Dog,1400000,15000000,2011,tt1822239
The Importance of Being Earnest,17290970,15000000,2002,tt0278500
National Lampoon's Vacation,61399552,15000000,1983,tt0085995
Road House,30050028,15000000,1989,tt0098206
Whatever Works,35100000,15000000,2009,tt1178663
Double Impact,80500000,15000000,1991,tt0101764
The Woman in Black,127730736,15000000,2012,tt1596365
Uncle Buck,79200000,15000000,1989,tt0098554
Kindergarten Cop,201957688,15000000,1990,tt0099938
First Blood,125212904,15000000,1982,tt0083944
The Artist,133432856,15000000,2011,tt1655442
The Thing,19629760,15000000,1982,tt0084787
A Dirty Shame,1914166,15000000,2004,tt0365125
Mulholland Drive,20000000,15000000,2001,tt0166924
The Big Lebowski,46000000,15000000,1998,tt0118715
Passenger 57,44065653,15000000,1992,tt0105104
Slumdog Millionaire,377910544,15000000,2008,tt1010048
Predator,98267558,15000000,1987,tt0093773
Black Lightning,21500000,15000000,2009,tt1569364
Mama,146428180,15000000,2013,tt2023587
"New York, I Love You",8093074,14700000,2009,tt0808399
Groundhog Day,70906973,14600000,1993,tt0107048
Proud Mary,21613306,14000000,2018,tt6421110
The Imitation Game,233555708,14000000,2014,tt2084970
Soul Survivors,4299441,14000000,2001,tt0218619
Sparkle,24637469,14000000,2012,tt1876451
Stan Helsing,11014125,14000000,2009,tt1185266
Beverly Hills Cop,316360478,14000000,1984,tt0086960
The Crimson Rivers,60000000,14000000,2000,tt0228786
Brokeback Mountain,178000000,14000000,2005,tt0388795
Super Troopers 2,26210667,13500000,2018,tt0859635
Teenage Mutant Ninja Turtles,201965915,13500000,1990,tt0100758
Manhattan Murder Mystery,11300000,13500000,1993,tt0107507
Downfall,92200000,13500000,2004,tt0363163
Seven Psychopaths,23500000,13500000,2012,tt1931533
Parasite,204581001,13200000,2019,tt6751668
The Call,68572378,13000000,2013,tt1911644
The Great Mouse Detective,38625550,13000000,1986,tt0091149
Robinson Crusoe,39500000,13000000,2016,tt4731008
Katy Perry: Part of Me,32726956,13000000,2012,tt2215719
RoboCop,53424681,13000000,1987,tt0093870
The Perks of Being a Wallflower,33400000,13000000,2012,tt1659337
The Texas Chainsaw Massacre: The Beginning,51700000,13000000,2006,tt0420294
Pan's Labyrinth,83258226,13000000,2006,tt0457430
The Drop,18700000,12600000,2014,tt1600196
About Last Night,48637684,12500000,2014,tt1826590
Youth,2700000,12300000,2015,tt3312830
The Land Before Time,84460846,12300000,1988,tt0095489
Beverly Hills Chihuahua,149281606,12000000,2008,tt1014775
"Three Billboards Outside Ebbing, Missouri",158773427,12000000,2017,tt5027774
Hell or High Water,35000000,12000000,2016,tt2582782
The Rover,1875423,12000000,2014,tt2345737
About Time,122000000,12000000,2013,tt2194499
Philomena,100000000,12000000,2013,tt2431286
The Edge,5122737,12000000,2010,tt1706414
The Hole,10362785,12000000,2009,tt1085779
The Fox and the Hound,63456988,12000000,1981,tt0082406
Five Minarets in New York,21000000,12000000,2010,tt1686039
Centurion,6814789,12000000,2010,tt1020558
Vysotsky. Thank You For Being Alive,27400000,12000000,2011,tt2116974
Yentl,40200000,12000000,1983,tt0086619
Peaceful Warrior,4300000,12000000,2006,tt0438315
Jobs,35931410,12000000,2013,tt2357129
Jackie Brown,72000000,12000000,1997,tt0119396
Tideland,566611,12000000,2005,tt0410764
A Walk to Remember,47494916,11800000,2002,tt0281358
Priceless,20000000,11700000,2006,tt0482088
The Intouchables,426588510,11500000,2011,tt1675434
Return to the Blue Lagoon,2807854,11000000,1991,tt0102782
"I, Tonya",18844022,11000000,2017,tt5580036
White Tiger,7200000,11000000,2012,tt2318405
I Think I Love My Wife,13196245,11000000,2007,tt0770772
Bienvenue chez les Ch'tis,245000000,11000000,2008,tt1064932
Don't Come Knocking,4600000,11000000,2005,tt0377800
Out on a Limb,1660000,11000000,1992,tt0105078
Machete,44093316,10500000,2010,tt0985694
E.T. the Extra-Terrestrial,792910554,10500000,1982,tt0083866
Ozzy,1148672,10000000,2016,tt5770430
Lady Bird,35216209,10000000,2017,tt4925292
"Everything, Everything",15356113,10000000,2017,tt5001718
The Icebreaker,5726092,10000000,2016,tt5317914
The Book of Henry,4600000,10000000,2017,tt4572792
Battalion,8903193,10000000,2015,tt4187590
While We're Young,7587485,10000000,2014,tt1791682
Legenda No. 17,922622011,10000000,2013,tt2182001
The Best Movie 2,11000000,10000000,2009,tt1364289
Mirror Wars,1685787,10000000,2005,tt0337678
Kit Kittredge: An American Girl,17655201,10000000,2008,tt0846308
Krrish,18000000,10000000,2006,tt0432637
Big Stan,8742330,10000000,2007,tt0490086
S1m0ne,19576023,10000000,2002,tt0258153
Commando,57491000,10000000,1985,tt0088944
Thank You for Smoking,39323027,10000000,2005,tt0427944
Wilde,2000000,10000000,1997,tt0120514
Hard to Kill,48915430,10000000,1990,tt0099739
Romancing the Stone,86572238,10000000,1984,tt0088011
Dogma,30652890,10000000,1999,tt0120655
Don't Breathe,152718657,9900000,2016,tt4160708
The 9th Company,25555809,9500000,2005,tt0417397
Happy Death Day 2U,90126645,9000000,2019,tt8155288
Jackie,22700000,9000000,2016,tt1619029
Split,278454358,9000000,2016,tt4972582
The Purge: Anarchy,110602999,9000000,2014,tt2975578
Metro,15080000,9000000,2013,tt2649128
The Strangers,82000000,9000000,2008,tt0482606
Flight of the Navigator,18564613,9000000,1986,tt0091059
"""Crocodile"" Dundee II",239606210,9000000,1988,tt0092493
Memento,39665951,9000000,2000,tt0209144
Amour,29900000,8900000,2012,tt1602620
"""Crocodile"" Dundee",328203506,8800000,1986,tt0090555
Love Me No More,10900000,8800000,2008,tt0996930
Heartbreaker,41000000,8700000,2010,tt1465487
Manchester by the Sea,38966212,8500000,2016,tt4034228
Nightcrawler,38600000,8500000,2014,tt2872718
Rzhevsky versus Napoleon,7805333,8500000,2012,tt1728245
The Last Warrior,397995156,8250000,2017,tt6175394
Mary and Max,1725381,8240000,2009,tt0978762
Day of the Dead: Bloodline,259361,8000000,2018,tt3053228
A Street Cat Named Bob,8370555,8000000,2016,tt3606888
That Awkward Moment,40468955,8000000,2014,tt1800246
Begin Again,63500000,8000000,2013,tt1980929
The Triplets of Belleville,14776760,8000000,2003,tt0286244
"Tad, The Lost Explorer",68000000,8000000,2012,tt1764625
The Snow Queen 2: The Snow King,14267119,8000000,2015,tt3477554
American Psycho,34000000,8000000,2000,tt0144084
50/50,39187783,8000000,2011,tt1306980
Youngblood,15000000,8000000,1986,tt0092272
Pulp Fiction,213928762,8000000,1994,tt0110912
Iron Sky,8135031,7500000,2012,tt1034314
(500) Days of Summer,60700000,7500000,2009,tt1022603
Melancholia,15946321,7400000,2011,tt1527186
Gagarin: First in Space,1100000,7000000,2013,tt2856930
Passenger,190000,7000000,2008,tt1515882
Moscow Heat,1100000,7000000,2004,tt0369738
"The Return of the Musketeers, or The Treasures of Cardinal Mazarin",2535164,7000000,2009,tt1370439
Only Lovers Left Alive,7600000,7000000,2013,tt1714915
Crazy Heart,47400000,7000000,2009,tt1263670
Mortadelo & Filemon: The Big Adventure,22847347,7000000,2003,tt0314121
The Last Temptation of Christ,8373585,7000000,1988,tt0095497
Fargo,60600000,7000000,1996,tt0116282
"Good Night, and Good Luck.",54641191,7000000,2005,tt0433383
Ghost World,8764007,7000000,2001,tt0162346
Buffy the Vampire Slayer,16624456,7000000,1992,tt0103893
Incendies,16000000,6800000,2010,tt1255953
The Girl with All the Gifts,2323090,6600000,2016,tt4547056
Annabelle,256873813,6500000,2014,tt3322940
The Best Movie 3,9816332,6500000,2011,tt1796603
Q4096414,7852528,6500000,2012,tt1765729
The Terminator,78475971,6400000,1984,tt0088247
The Fixies: Top Secret,7310903,6000000,2017,tt6106526
Movie 43,32438988,6000000,2013,tt1333125
Unplanned,18453952,6000000,2019,tt9024106
Crimea,5815369,6000000,2017,tt6990206
Shadowboxing 2: Revenge,12859418,6000000,2007,tt0459759
The Guard,17600000,6000000,2011,tt1540133
Lionheart,24271196,6000000,1990,tt0100029
The Last King of Scotland,48363516,6000000,2006,tt0455590
Dirty Dancing,213954274,6000000,1987,tt0092890
The Room,1800,6000000,2003,tt0368226
Don Jon,30240052,6000000,2013,tt2229499
Fahrenheit 9/11,222400000,6000000,2004,tt0361596
The Wrestler,44700000,6000000,2008,tt1125849
The Sense of Wonder,3850054,5815566,2015,tt4084056
Yolki 2,26231525,5800000,2011,tt2124096
Loving Vincent,30500000,5500000,2017,tt3262342
Transit,300000,5300000,2006,tt0416111
Q4345343,130000,5200000,2006,tt0933382
It Comes at Night,8500000,5000000,2017,tt4695012
Blair Witch,45172994,5000000,2016,tt1540011
The Belko Experiment,10600000,5000000,2017,tt1082807
90 Minutes in Heaven,4842699,5000000,2015,tt4337690
Incarnate,6341855,5000000,2015,tt3216348
Battle for Sevastopol,8000000,5000000,2015,tt4084744
Rudderless,37440,5000000,2014,tt1798243
Office Romance. Our Time,14600000,5000000,2011,tt1764600
The Best Movie,30496695,5000000,2008,tt1179067
The Last Exorcism Part II,15179302,5000000,2013,tt2034139
The Irony of Fate 2,55635037,5000000,2007,tt0987918
The New Adventures of Pippi Longstocking,3569939,5000000,1988,tt0093744
Bad Boys,9000000,5000000,1983,tt0085210
Black Hunters,8228500,5000000,2008,tt1192431
Wishmaster,15738769,5000000,1997,tt0120524
The Gods Must Be Crazy,34000000,5000000,1980,tt0080801
Apollo 18,25500000,5000000,2011,tt1772240
Moon,9760104,5000000,2009,tt1182345
Lights Out,148000000,4900000,2016,tt4786282
Happy Death Day,125479266,4800000,2017,tt5308322
American Gigolo,22000000,4800000,1980,tt0080365
The Very Private Life of Mister Sim,983751,4615498,2015,tt4313614
Get Out,255407663,4500000,2017,tt5052448
Maggie,187112,4500000,2015,tt1881002
The Romantics,123820,4500000,2010,tt1403988
The Blue Lagoon,58853106,4500000,1980,tt0080453
Day Watch,38862717,4200000,2006,tt0409904
Wild Tales,27000000,4000000,2014,tt3011894
Four Rooms,4257354,4000000,1995,tt0113101
Orbiter 9,281319,4000000,2017,tt3469798
The Darkness,10900000,4000000,2016,tt1878841
The Signal,2423801,4000000,2014,tt2910814
The State Counsellor,7522000,4000000,2005,tt0450158
Radio Day,5700000,4000000,2008,tt1217565
Alesha Poppovich and the Snake's Tugarin,48376440,4000000,2004,tt0415481
Talk Radio,3468572,4000000,1988,tt0096219
Three heroes and the King of the Sea,13358307,4000000,2017,tt6389344
scoop,39000000,4000000,2006,tt0457513
Saw II,147700000,4000000,2005,tt0432348
Lost in Translation,119000000,4000000,2003,tt0335266
The House of the Sun,100000,3740000,2010,tt0962764
Morphine,766075,3600000,2008,tt1186366
Bend It Like Beckham,76600000,3600000,2002,tt0286499
Truth or Dare,92953572,3500000,2018,tt6772950
The Queen of Spades,502105,3500000,2016,tt2231457
Call Me by Your Name,29432427,3500000,2017,tt5726616
Krepost. Schitom i mechom,1176906,3500000,2015,tt5172306
Shadowboxing,8262833,3500000,2005,tt0415678
Piranha,6221316,3500000,2006,tt0477349
The Full Monty,257938649,3500000,1997,tt0119164
Airplane!,83453539,3500000,1980,tt0080339
Babysitting,20300000,3400000,2014,tt3013602
Shirli-Myrli,231000,3400000,1995,tt0114429
Whiplash,48982041,3300000,2014,tt2582802
Amy,25000000,3100000,2015,tt2870648
Ivan Tsarevich and the Gray Wolf 2,20962988,3000000,2013,tt3338434
4x4,1292773,3000000,2019,tt8561690
Upgrade,14316615,3000000,2018,tt6499752
Mafia: The Game of Survival,4026795,3000000,2016,tt4471388
Love & Friendship,21200000,3000000,2016,tt3068194
Q15709915,5000000,3000000,2014,tt3451498
The Disappearance of Eleanor Rigby,985007,3000000,2013,tt3729920
The Purge,89328627,3000000,2013,tt2184339
Q4271793,17850711,3000000,2008,tt1414840
Konservy,2069986,3000000,2007,tt0956299
Election Day,6200000,3000000,2007,tt1198196
Before Midnight,20737030,3000000,2013,tt2209418
Heathers,1108462,3000000,1989,tt0097493
Choke,3980000,3000000,2008,tt1024715
Hobo with a Shotgun,748453,3000000,2011,tt1640459
Fish Tank,2300000,3000000,2009,tt1232776
Trollhunter,4155588,3000000,2010,tt1740707
Q16141765,855840,2800000,2014,tt2360390
Q4299869,2372984,2700000,2011,tt2158649
The Great Game,226708,2500000,2015,tt4333408
Q18405973,13422611,2500000,2014,tt4156700
Love in Vegas,15880000,2500000,2013,tt2739884
Platon,5129300,2500000,2008,tt1202532
12,7537453,2500000,2007,tt0488478
Life After Beth,254881,2400000,2014,tt2581244
Q17582632,13969785,2300000,2014,tt3711466
8 First Dates,9100000,2300000,2012,tt2258239
Curdled,49620,2300000,1996,tt0115994
7 Virgins,4859866.81,2220650,2005,tt0461894
The PyraMMMid,33000000,2200000,2011,tt1606652
The Florida Project,4870688,2000000,2017,tt5649144
The Very Best Day,10744717,2000000,2015,tt5083604
Hardcore Henry,14333790,2000000,2015,tt3072482
What Men Do!,11300000,2000000,2013,tt2649152
Our Russia. The Balls of Fate,22212223,2000000,2010,tt1569465
"Buben, baraban",14800,2000000,2009,tt1435475
Q4169298,7232000,2000000,2013,tt2593290
Q3604731,5104707,2000000,2012,tt2475794
Courageous,34522221,2000000,2011,tt1630036
Sample People,47252,2000000,2000,tt0177195
Shortbus,5400000,2000000,2006,tt0367027
The Proposition,5000000,2000000,2005,tt0421238
What Men Talk About,12060112,1950000,2010,tt1595366
Night Watch,33899078,1800000,2004,tt0403358
What We Do in the Shadows,5886859,1600000,2014,tt3416742
Dert Bende,9070,1500000,2019,tt10783920
Unforgiven,5710418,1500000,2018,tt7394636
The Groom,7737173,1500000,2016,tt6070530
Moonlight,50183838,1500000,2016,tt4975722
Gorko!,25505814,1500000,2013,tt3194532
Brother 2,1080000,1500000,2000,tt0238883
Kickboxer,39286030,1500000,1989,tt0097659
Insidious,97009150,1500000,2010,tt1591095
Little Forest,7500000,1400000,2018,tt6083230
Q29958797,1019699,1400000,2015,tt4647432
Q58874656,63000,1200000,2014,tt4058346
Saw,103100000,1200000,2004,tt0387564
Q4112945,320395,1100000,2012,tt2400314
The Raid,4100000,1100000,2011,tt1899353
Space Station 3D,127000000,1000000,2002,tt0290296
Q28667328,1492651,1000000,2016,tt5437194
I Am Not Your Negro,6200000,1000000,2016,tt5804038
The Witch,40423945,1000000,2015,tt4263482
Unfriended,64056643,1000000,2014,tt3713166
Bury Me Behind the Baseboard,1136883,1000000,2009,tt1403085
The Breakfast Club,51500000,1000000,1985,tt0088847
Q48954091,399733,900000,2018,tt6964554
Unforgotten Shadows,643000,877000,2013,tt2245906
Racketeer,1200000,800000,2007,tt1677719
Raising Victor Vargas,2816116,800000,2002,tt0316188
The Barbarians,800000,800000,1987,tt0092615
All at Once,3442454,750000,2014,tt3805180
Tyrannosaur,244500,750000,2011,tt1204340
Hoop Dreams,11800000,700000,1994,tt0110057
A Matter of Faith,677577,600000,2014,tt2587914
Winter Flight,388000,581000,1984,tt0088407
Sharma and Beyond,340000,504000,1984,tt0091937
To smithereens,403557,400000,2011,tt1855417
The Return,4400000,400000,2003,tt0376968
Q4425710,14000,300000,2012,tt2569398
Chasing Amy,12021272,250000,1997,tt0118842
Q35868033,311110,100000,2017,tt7623230
Inadequate people,621262,100000,2010,tt1722450
Eraserhead,7000000,100000,1980,tt0074486
The Blair Witch Project,248639099,60000,1999,tt0185937
My Life's In Turnaround,196383,22000,1993,tt0107631
Primer,424760,7000,2004,tt0390384
Following,48500,6000,1998,tt0154506
Head of State,38620740,35.2,2003,tt0325537
